productName,sku,lot,coaUrl
100x TRF-Ubiquitin Mix,SBB-TR0051-2K,172570051,https://8c0a19bf-a2d2-40b6-a0ea-bfe93aeb6d48.usrfiles.com/ugd/8c0a19_47edc38f148a463ca56e6e8ebb35488d.pdf
"20S Immunoproteasome Kit, human PBMC",SBB-KP0037,172440038,https://8c0a19bf-a2d2-40b6-a0ea-bfe93aeb6d48.usrfiles.com/ugd/8c0a19_c8dfbf019e494adfab81b361466e849d.pdf
"20S Immunoproteasome, human PBMC",SBB-PP0004,163060004,https://8c0a19bf-a2d2-40b6-a0ea-bfe93aeb6d48.usrfiles.com/ugd/8c0a19_116bfa033c474c338f54b773aaa43829.pdf
"20S Immunoproteasome, Human Spleen",SBB-PP0144,242300144,https://8c0a19bf-a2d2-40b6-a0ea-bfe93aeb6d48.usrfiles.com/ugd/8c0a19_12ee01b34b5740309725a3e5102ccd23.pdf
"20S Immunoproteasome, mouse Spleen",SBB-PP0083,,https://8c0a19bf-a2d2-40b6-a0ea-bfe93aeb6d48.usrfiles.com/ugd/8c0a19_4bb169dcc59244f9bda274071b25cbba.pdf
"20S Immunoproteasome, rat Spleen",SBB-PP0046,,https://8c0a19bf-a2d2-40b6-a0ea-bfe93aeb6d48.usrfiles.com/ugd/8c0a19_9268774379024621a9ea43f67632f7b6.pdf
"20S Proteasome Kit, human RBC",SBB-KP0038,172440038,https://8c0a19bf-a2d2-40b6-a0ea-bfe93aeb6d48.usrfiles.com/ugd/8c0a19_9345fea537954518bb0c5ffb51acc119.pdf
"20S Proteasome, human RBC",SBB-PP0005,163060005,https://8c0a19bf-a2d2-40b6-a0ea-bfe93aeb6d48.usrfiles.com/ugd/8c0a19_9268774379024621a9ea43f67632f7b6.pdf
"20S Proteasome, mouse RBC",SBB-PP0047,190700047,https://8c0a19bf-a2d2-40b6-a0ea-bfe93aeb6d48.usrfiles.com/ugd/8c0a19_79551e29ea924ea69a243b4d16571070.pdf
"20S Proteasome, rat RBC",SBB-PP0086,,https://8c0a19bf-a2d2-40b6-a0ea-bfe93aeb6d48.usrfiles.com/ugd/8c0a19_35ba610fa1554dabbc3bc8314241b4d5.pdf
26S Proteasome (Human HEK293) (untagged),SBB-PP0101-C025,232510101,https://8c0a19bf-a2d2-40b6-a0ea-bfe93aeb6d48.usrfiles.com/ugd/8c0a19_92e619de92964f9eb16996fd2f38d3f2.pdf
Ac-Ala-Asn-Trp-AMC (ANW-AMC),SBB-PS0009,163060009,https://8c0a19bf-a2d2-40b6-a0ea-bfe93aeb6d48.usrfiles.com/ugd/8c0a19_5d9cfd33cf6248a1a00bb142c1b05963.pdf
Ac-Ala-Asn-Trp-AMC (ANW-AMC),SBB-PS0009,163060009,https://8c0a19bf-a2d2-40b6-a0ea-bfe93aeb6d48.usrfiles.com/ugd/8c0a19_c552f4ab696a43b9a3668fd2e1d3bba1.pdf
Ac-Pro-Ala-Leu-AMC (PAL-AMC),SBB-PS0007,163060007,https://8c0a19bf-a2d2-40b6-a0ea-bfe93aeb6d48.usrfiles.com/ugd/8c0a19_0665a6119db94cf0bbe342858ca4762f.pdf
